,_id,ltable_id,rtable_id,name_name_cos_dlm_dc0_dlm_dc0,name_name_cos_qgm_3_qgm_3,name_name_dice_dlm_dc0_dlm_dc0,name_name_dice_qgm_3_qgm_3,name_name_lev_sim,name_name_jar,name_name_jwn,name_name_exm,name_name_mel_dlm_dc0_dlm_dc0,name_name_mel_qgm_3_qgm_3,name_name_overlap_coeff_dlm_dc0_dlm_dc0,name_name_overlap_coeff_qgm_3_qgm_3,name_name_jac_dlm_dc0_dlm_dc0,name_name_jac_qgm_3_qgm_3,addr_addr_cos_dlm_dc0_dlm_dc0,addr_addr_cos_qgm_3_qgm_3,addr_addr_dice_dlm_dc0_dlm_dc0,addr_addr_dice_qgm_3_qgm_3,addr_addr_lev_sim,addr_addr_jar,addr_addr_jwn,addr_addr_exm,addr_addr_mel_dlm_dc0_dlm_dc0,addr_addr_mel_qgm_3_qgm_3,addr_addr_overlap_coeff_dlm_dc0_dlm_dc0,addr_addr_overlap_coeff_qgm_3_qgm_3,addr_addr_jac_dlm_dc0_dlm_dc0,addr_addr_jac_qgm_3_qgm_3,city_city_cos_dlm_dc0_dlm_dc0,city_city_cos_qgm_3_qgm_3,city_city_dice_dlm_dc0_dlm_dc0,city_city_dice_qgm_3_qgm_3,city_city_lev_sim,city_city_jar,city_city_jwn,city_city_exm,city_city_mel_dlm_dc0_dlm_dc0,city_city_mel_qgm_3_qgm_3,city_city_overlap_coeff_dlm_dc0_dlm_dc0,city_city_overlap_coeff_qgm_3_qgm_3,city_city_jac_dlm_dc0_dlm_dc0,city_city_jac_qgm_3_qgm_3,phone_phone_cos_dlm_dc0_dlm_dc0,phone_phone_cos_qgm_3_qgm_3,phone_phone_dice_dlm_dc0_dlm_dc0,phone_phone_dice_qgm_3_qgm_3,phone_phone_lev_sim,phone_phone_jar,phone_phone_jwn,phone_phone_exm,phone_phone_mel_dlm_dc0_dlm_dc0,phone_phone_mel_qgm_3_qgm_3,phone_phone_overlap_coeff_dlm_dc0_dlm_dc0,phone_phone_overlap_coeff_qgm_3_qgm_3,phone_phone_jac_dlm_dc0_dlm_dc0,phone_phone_jac_qgm_3_qgm_3,type_type_cos_dlm_dc0_dlm_dc0,type_type_cos_qgm_3_qgm_3,type_type_dice_dlm_dc0_dlm_dc0,type_type_dice_qgm_3_qgm_3,type_type_lev_sim,type_type_jar,type_type_jwn,type_type_exm,type_type_mel_dlm_dc0_dlm_dc0,type_type_mel_qgm_3_qgm_3,type_type_overlap_coeff_dlm_dc0_dlm_dc0,type_type_overlap_coeff_qgm_3_qgm_3,type_type_jac_dlm_dc0_dlm_dc0,type_type_jac_qgm_3_qgm_3,class_class_exm,class_class_anm,class_class_lev_sim,gold
0,0,534,534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1
1,1,595,534,0.25,0.1632993161855452,0.25,0.16,0.2857142857142857,0.5749897956848145,0.617490828037262,0,0.6706944406032562,0.7666666805744171,0.25,0.2,0.14285714285714285,0.08695652173913043,0.0,0.10925355610938448,0.0,0.10909090909090909,0.2222222222222222,0.5461775660514832,0.5915598273277283,0,0.33638887604077655,0.630651358900399,0.0,0.11538461538461539,0.0,0.057692307692307696,0.0,0.14907119849998599,0.0,0.14814814814814814,0.23076923076923073,0.5615384578704834,0.6053845882415771,0,0.5333333164453506,0.6888889074325562,0.0,0.16666666666666666,0.0,0.08,0.0,0.0,0.0,0.0,0.25,0.6269841194152832,0.6269841194152832,0,0.6269841194152832,0.6492063701152802,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0
2,2,617,534,0.2886751345948129,0.17213259316477408,0.2857142857142857,0.16666666666666666,0.3214285714285714,0.6307234168052673,0.6676510572433472,0,0.7416666746139526,0.7320987814002566,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.09090909090909091,0.0,0.062017367294604234,0.0,0.06060606060606061,0.21052631578947367,0.6009202003479004,0.6408281922340393,0,0.6023478955030441,0.6322222396731376,0.0,0.07692307692307693,0.0,0.03125,0.0,0.0,0.0,0.0,0.15384615384615385,0.44200244545936584,0.44200244545936584,0,0.5410714149475098,0.6790123648113675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.6111111044883728,0.6111111044883728,0,0.6111111044883728,0.6682539880275726,0.0,0.0,0.0,0.0,0.0,0.35856858280031806,0.0,0.35294117647058826,0.5,0.7666666507720947,0.7899999618530273,0,0.7899999618530273,0.8222222328186035,0.0,0.42857142857142855,0.0,0.21428571428571427,0,0.0,0.0,0
3,3,685,534,0.0,0.45573271518765,0.0,0.4186046511627907,0.3928571428571429,0.6554112434387207,0.6898701190948486,0,0.939393937587738,0.9384615421295166,0.0,0.6923076923076923,0.0,0.2647058823529412,0.0,0.1283881477532739,0.0,0.1276595744680851,0.25,0.5994151830673218,0.6394736766815186,0,0.6053174535433451,0.6560846737452916,0.0,0.14285714285714285,0.0,0.06818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35714285714285715,0.0,0.35714285714285715,0.6666666666666667,0.8333333134651184,0.8999999761581421,0,0.8999999761581421,0.8285714387893677,0.0,0.35714285714285715,0.0,0.21739130434782608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0
4,4,698,534,0.20412414523193154,0.3027650354097492,0.2,0.2972972972972973,0.2857142857142857,0.6071428656578064,0.6464285850524902,0,0.7111772497495016,0.7601010244001042,0.25,0.36666666666666664,0.1111111111111111,0.1746031746031746,0.0,0.1283881477532739,0.0,0.1276595744680851,0.33333333333333337,0.6650359630584717,0.6985323429107666,0,0.6585714295506477,0.7153439323107401,0.0,0.14285714285714285,0.0,0.06818181818181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.6746031641960144,0.6746031641960144,0,0.6746031641960144,0.7111111283302307,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0
5,5,808,534,0.2886751345948129,0.17213259316477408,0.2857142857142857,0.16666666666666666,0.2857142857142857,0.5722402334213257,0.6150162220001221,0,0.7416666746139526,0.7259259422620138,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.09090909090909091,0.0,0.1386750490563073,0.0,0.13636363636363635,0.33333333333333337,0.5805555582046509,0.6225000023841858,0,0.6916666626930237,0.76419754491912,0.0,0.16666666666666666,0.0,0.07317073170731707,0.0,0.14907119849998599,0.0,0.14814814814814814,0.23076923076923073,0.5615384578704834,0.6053845882415771,0,0.5333333164453506,0.6888889074325562,0.0,0.16666666666666666,0.0,0.08,0.0,0.0,0.0,0.0,0.33333333333333337,0.579365074634552,0.579365074634552,0,0.579365074634552,0.6650793850421906,0.0,0.0,0.0,0.0,0.0,0.35856858280031806,0.0,0.35294117647058826,0.5,0.7666666507720947,0.7899999618530273,0,0.7899999618530273,0.8222222328186035,0.0,0.42857142857142855,0.0,0.21428571428571427,0,0.0,0.0,0
6,6,845,534,0.0,0.45573271518765,0.0,0.4186046511627907,0.3928571428571429,0.6554112434387207,0.6898701190948486,0,0.939393937587738,0.9384615421295166,0.0,0.6923076923076923,0.0,0.2647058823529412,0.0,0.1153846153846154,0.0,0.11538461538461539,0.23076923076923073,0.5779914259910583,0.620192289352417,0,0.44722222288449603,0.6777777969837189,0.0,0.11538461538461539,0.0,0.061224489795918366,0.0,0.14907119849998599,0.0,0.14814814814814814,0.23076923076923073,0.5615384578704834,0.6053845882415771,0,0.5333333164453506,0.6888889074325562,0.0,0.16666666666666666,0.0,0.08,0.0,0.0,0.0,0.0,0.25,0.6111111044883728,0.6111111044883728,0,0.6111111044883728,0.6952381134033203,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.33333333333333337,0
7,7,918,534,0.2886751345948129,0.25064020591380154,0.2857142857142857,0.25,0.3571428571428571,0.5917277336120605,0.6325549483299255,0,0.734231193860372,0.7299145460128784,0.3333333333333333,0.2692307692307692,0.16666666666666666,0.14285714285714285,0.0,0.07548513560963972,0.0,0.07547169811320754,0.31999999999999995,0.6102991700172424,0.6492692828178406,0,0.5595238149166107,0.6164609237953469,0.0,0.07692307692307693,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.15384615384615385,0.44200244545936584,0.44200244545936584,0,0.5410714149475098,0.6790123648113675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.6269841194152832,0.6269841194152832,0,0.6269841194152832,0.6857143044471741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818177,0.4545454680919647,0.4545454680919647,0,0.4545454680919647,0.6512820720672607,0.0,0.0,0.0,0.0,0,0.0,0.0,0
8,8,952,534,0.2886751345948129,0.1675415633166782,0.2857142857142857,0.16326530612244897,0.2857142857142857,0.5891510248184204,0.6302359104156494,0,0.7394179900487264,0.7567251606991416,0.3333333333333333,0.21052631578947367,0.16666666666666666,0.08888888888888889,0.0,0.11118739749916517,0.0,0.1111111111111111,0.3076923076923077,0.6565170884132385,0.6908653974533081,0,0.6527876853942871,0.703968271613121,0.0,0.11538461538461539,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.15384615384615385,0.44200244545936584,0.44200244545936584,0,0.5410714149475098,0.6790123648113675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.6944444179534912,0.6944444179534912,0,0.6944444179534912,0.6253968477249146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5138888955116272,0.5138888955116272,0,0.5138888955116272,0.644444465637207,0.0,0.0,0.0,0.0,0,0.0,0.0,0
9,9,955,534,0.25,0.14907119849998599,0.25,0.14814814814814814,0.3214285714285714,0.6620671153068542,0.6958603858947754,0,0.590046301484108,0.7416666820645332,0.25,0.16666666666666666,0.14285714285714285,0.08,0.0,0.12009611535381537,0.0,0.12,0.375,0.622474730014801,0.6602272391319275,0,0.6509259194135666,0.6490740900238355,0.0,0.125,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.15384615384615385,0.44200244545936584,0.44200244545936584,0,0.5410714149475098,0.6790123648113675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5444444417953491,0.5444444417953491,0,0.5444444417953491,0.6365079581737518,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.1,0.125,0.5833333134651184,0.5833333134651184,0,0.5833333134651184,0.5355555653572083,0.0,0.1,0.0,0.05263157894736842,0,0.0,0.0,0
