,_id,ltable_id,rtable_id,name_name_cos_dlm_dc0_dlm_dc0,name_name_cos_qgm_3_qgm_3,name_name_dice_dlm_dc0_dlm_dc0,name_name_dice_qgm_3_qgm_3,name_name_lev_sim,name_name_jar,name_name_jwn,name_name_exm,name_name_mel_dlm_dc0_dlm_dc0,name_name_mel_qgm_3_qgm_3,name_name_overlap_coeff_dlm_dc0_dlm_dc0,name_name_overlap_coeff_qgm_3_qgm_3,name_name_jac_dlm_dc0_dlm_dc0,name_name_jac_qgm_3_qgm_3,addr_addr_cos_dlm_dc0_dlm_dc0,addr_addr_cos_qgm_3_qgm_3,addr_addr_dice_dlm_dc0_dlm_dc0,addr_addr_dice_qgm_3_qgm_3,addr_addr_lev_sim,addr_addr_jar,addr_addr_jwn,addr_addr_exm,addr_addr_mel_dlm_dc0_dlm_dc0,addr_addr_mel_qgm_3_qgm_3,addr_addr_overlap_coeff_dlm_dc0_dlm_dc0,addr_addr_overlap_coeff_qgm_3_qgm_3,addr_addr_jac_dlm_dc0_dlm_dc0,addr_addr_jac_qgm_3_qgm_3,city_city_cos_dlm_dc0_dlm_dc0,city_city_cos_qgm_3_qgm_3,city_city_dice_dlm_dc0_dlm_dc0,city_city_dice_qgm_3_qgm_3,city_city_lev_sim,city_city_jar,city_city_jwn,city_city_exm,city_city_mel_dlm_dc0_dlm_dc0,city_city_mel_qgm_3_qgm_3,city_city_overlap_coeff_dlm_dc0_dlm_dc0,city_city_overlap_coeff_qgm_3_qgm_3,city_city_jac_dlm_dc0_dlm_dc0,city_city_jac_qgm_3_qgm_3,phone_phone_cos_qgm_2_qgm_2,phone_phone_cos_qgm_3_qgm_3,phone_phone_dice_qgm_2_qgm_2,phone_phone_dice_qgm_3_qgm_3,phone_phone_lev_sim,phone_phone_jar,phone_phone_jwn,phone_phone_exm,phone_phone_mel_qgm_2_qgm_2,phone_phone_mel_qgm_3_qgm_3,phone_phone_overlap_coeff_qgm_2_qgm_2,phone_phone_overlap_coeff_qgm_3_qgm_3,phone_phone_jac_qgm_2_qgm_2,phone_phone_jac_qgm_3_qgm_3,type_type_cos_dlm_dc0_dlm_dc0,type_type_cos_qgm_3_qgm_3,type_type_dice_dlm_dc0_dlm_dc0,type_type_dice_qgm_3_qgm_3,type_type_lev_sim,type_type_jar,type_type_jwn,type_type_exm,type_type_mel_dlm_dc0_dlm_dc0,type_type_mel_qgm_3_qgm_3,type_type_overlap_coeff_dlm_dc0_dlm_dc0,type_type_overlap_coeff_qgm_3_qgm_3,type_type_jac_dlm_dc0_dlm_dc0,type_type_jac_qgm_3_qgm_3,class_class_exm,class_class_anm,class_class_lev_sim,gold
0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1
1,1,4,1,0.40824829046386296,0.38888888888888895,0.4,0.3888888888888889,0.5,0.5972222089767456,0.637499988079071,0,0.7700000107288361,0.7827160623338487,0.5,0.3888888888888889,0.25,0.2413793103448276,0.22360679774997896,0.2860794159408606,0.2222222222222222,0.2807017543859649,0.40625,0.629960298538208,0.6669642925262451,0,0.5462222218513488,0.6660130865433637,0.25,0.34782608695652173,0.125,0.16326530612244897,0.0,0.14625448482542613,0.0,0.14285714285714285,0.33333333333333337,0.5629629492759705,0.6066666841506958,0,0.5475000143051147,0.6784313917160034,0.0,0.18181818181818182,0.0,0.07692307692307693,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.41666666666666663,0.7361111044883728,0.8416666388511658,0,0.7871795159119827,0.7396825551986694,0.3076923076923077,0.2857142857142857,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.5833333134651184,0.5833333134651184,0,0.5027777751286825,0.6166666865348815,0.0,0.0,0.0,0.0,0,0.994413407821229,0.6666666666666667,0
2,2,20,1,0.0,0.2057377999494559,0.0,0.20512820512820512,0.33333333333333337,0.6158910393714905,0.6543019413948059,0,0.5131944566965103,0.6628019472827082,0.0,0.2222222222222222,0.0,0.11428571428571428,0.2886751345948129,0.39130434782608703,0.2857142857142857,0.391304347826087,0.5238095238095238,0.6309523582458496,0.7047618627548218,0,0.7499074339866638,0.7333333440448927,0.3333333333333333,0.391304347826087,0.16666666666666666,0.24324324324324326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846154,0.5714285714285714,0.6153846153846154,0.5714285714285714,0.6666666666666667,0.7777777910232544,0.8666666746139526,0,0.8846154029552753,0.8571428656578064,0.6153846153846154,0.5714285714285714,0.4444444444444444,0.4,0.0,0.0,0.0,0.0,0.0,0.3452380895614624,0.3452380895614624,0,0.3452380895614624,0.6345679230160184,0.0,0.0,0.0,0.0,0,0.9656419529837251,0.33333333333333337,0
3,3,21,1,0.33333333333333337,0.38888888888888895,0.3333333333333333,0.3888888888888889,0.5625,0.6342592835426331,0.6708333492279053,0,0.700000007947286,0.6950617366366916,0.3333333333333333,0.3888888888888889,0.2,0.2413793103448276,0.25,0.22750787759664506,0.25,0.22727272727272727,0.38095238095238093,0.6341687440872192,0.6707518696784973,0,0.6511111035943031,0.6656084798631214,0.25,0.23809523809523808,0.14285714285714285,0.1282051282051282,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0,0.9111111164093018,0.8055555671453476,0.0,0.0,0.0,0.0,0.16012815380508716,0.07142857142857142,0.16,0.07142857142857142,0.41666666666666663,0.6269841194152832,0.6269841194152832,0,0.7410256770940927,0.723809540271759,0.16666666666666666,0.07142857142857142,0.08695652173913043,0.037037037037037035,0.0,0.0,0.0,0.0,0.16666666666666663,0.4444444477558136,0.4444444477558136,0,0.4444444477558136,0.642857164144516,0.0,0.0,0.0,0.0,0,0.9638989169675091,0.6666666666666667,0
4,4,40,1,0.33333333333333337,0.3689323936863109,0.3333333333333333,0.3684210526315789,0.4444444444444444,0.7359007000923157,0.7623106241226196,0,0.688148150841395,0.6966666758060456,0.3333333333333333,0.3888888888888889,0.2,0.22580645161290322,0.75,0.7826086956521741,0.75,0.782608695652174,0.9047619047619048,0.9365079402923584,0.9555555582046509,0,0.9611111134290695,0.9458937230317489,0.75,0.782608695652174,0.6,0.6428571428571429,0.0,0.1556997888323046,0.0,0.15384615384615385,0.3076923076923077,0.5007122755050659,0.5506410598754883,0,0.506984144449234,0.5985185345013936,0.0,0.18181818181818182,0.0,0.08333333333333333,0.6405126152203486,0.5714285714285714,0.64,0.5714285714285714,0.75,0.8333333134651184,0.8999999761581421,0,0.9051282176604638,0.8841269910335541,0.6666666666666666,0.5714285714285714,0.47058823529411764,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0.9319371727748691,0.33333333333333337,0
5,5,119,1,0.0,0.1924500897298753,0.0,0.19047619047619047,0.2727272727272727,0.5460858345031738,0.5914772748947144,0,0.47534722089767456,0.6324074218670527,0.0,0.2222222222222222,0.0,0.10526315789473684,0.0,0.2891574659831202,0.0,0.2777777777777778,0.33333333333333337,0.5548340678215027,0.6883838772773743,0,0.7583333551883698,0.7435897542880132,0.0,0.38461538461538464,0.0,0.16129032258064516,0.0,0.14625448482542613,0.0,0.14285714285714285,0.2666666666666667,0.5629629492759705,0.6066666841506958,0,0.2233333388964335,0.5986928273649776,0.0,0.18181818181818182,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.25,0.5555555820465088,0.5555555820465088,0,0.6923077335724463,0.6476190686225891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.4722222089767456,0.4722222089767456,0,0.4722222089767456,0.6755555748939515,0.0,0.0,0.0,0.0,0,0.8190184049079754,0.0,0
6,6,125,1,0.0,0.19658927487319622,0.0,0.1951219512195122,0.2857142857142857,0.5896164178848267,0.6306547522544861,0,0.48125000298023224,0.5855072581249735,0.0,0.2222222222222222,0.0,0.10810810810810811,0.25,0.2553769592276246,0.25,0.2553191489361702,0.40909090909090906,0.7200577259063721,0.7480519413948059,0,0.7345833405852318,0.7555555701255798,0.25,0.2608695652173913,0.14285714285714285,0.14634146341463414,0.0,0.16724840200141816,0.0,0.16666666666666666,0.36363636363636365,0.6818181872367859,0.7136363983154297,0,0.6500000059604645,0.716239333152771,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.16666666666666663,0.5444444417953491,0.5444444417953491,0,0.6358974713545579,0.6269841492176056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3452380895614624,0.3452380895614624,0,0.3452380895614624,0.5012345843844943,0.0,0.0,0.0,0.0,0,0.8115501519756839,0.0,0
7,7,138,1,0.40824829046386296,0.3785166493051126,0.4,0.3783783783783784,0.4117647058823529,0.586192786693573,0.6275734901428223,0,0.7815656661987305,0.7415204801057514,0.5,0.3888888888888889,0.25,0.23333333333333334,0.0,0.17782168978975482,0.0,0.17777777777777778,0.38095238095238093,0.658730149269104,0.7269841432571411,0,0.6355158761143684,0.6606060754169117,0.0,0.18181818181818182,0.0,0.0975609756097561,0.0,0.16724840200141816,0.0,0.16666666666666666,0.36363636363636365,0.6818181872367859,0.7136363983154297,0,0.6500000059604645,0.716239333152771,0.0,0.18181818181818182,0.0,0.09090909090909091,0.08006407690254358,0.0,0.08,0.0,0.16666666666666663,0.5555555820465088,0.5555555820465088,0,0.7153846529813913,0.6507936716079712,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.09090909090909094,0.31060606241226196,0.31060606241226196,0,0.31060606241226196,0.4786324959534865,0.0,0.0,0.0,0.0,0,0.7958271236959762,0.0,0
8,8,143,1,0.0,0.2773500981126146,0.0,0.2727272727272727,0.33333333333333337,0.6821581125259399,0.745726466178894,0,0.7124999910593033,0.7470085620880127,0.0,0.3333333333333333,0.0,0.15789473684210525,0.0,0.13650472655798704,0.0,0.13636363636363635,0.19047619047619047,0.47201335430145264,0.5248120427131653,0,0.5842592517534891,0.5682539826347714,0.0,0.14285714285714285,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.11111111111111116,0.5026454925537109,0.5026454925537109,0,0.4841269850730896,0.686419771777259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.5444444417953491,0.5444444417953491,0,0.6974359429799594,0.6396825611591339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.5583333373069763,0.5583333373069763,0,0.5583333373069763,0.7092592765887579,0.0,0.0,0.0,0.0,0,0.7899408284023669,0.0,0
9,9,146,1,0.40824829046386296,0.42600643361512924,0.4,0.42424242424242425,0.4375,0.5634157657623291,0.6070742011070251,0,0.7464285790920258,0.7644444545110066,0.5,0.4666666666666667,0.25,0.2692307692307692,0.0,0.08512565307587487,0.0,0.0851063829787234,0.18181818181818177,0.5384800434112549,0.5846320390701294,0,0.5306349277496338,0.6851852039496104,0.0,0.08695652173913043,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.11111111111111116,0.5026454925537109,0.5026454925537109,0,0.4841269850730896,0.686419771777259,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.16666666666666663,0.7222222089767456,0.7222222089767456,0,0.7205128623889043,0.6857143044471741,0.07692307692307693,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.519444465637207,0.519444465637207,0,0.4345238208770752,0.5699346626506132,0.0,0.0,0.0,0.0,0,0.7864506627393225,0.0,0
