,ltable_id,rtable_id
0,1,1
1,4,1
2,20,1
3,21,1
4,40,1
5,119,1
6,125,1
7,138,1
8,143,1
9,146,1
10,158,1
11,176,1
12,179,1
13,226,1
14,228,1
15,234,1
16,236,1
17,280,1
18,282,1
19,291,1
20,292,1
21,301,1
22,2,2
23,3,3
24,1,4
25,4,4
26,20,4
27,21,4
28,40,4
29,119,4
30,125,4
31,138,4
32,143,4
33,146,4
34,158,4
35,176,4
36,179,4
37,226,4
38,228,4
39,234,4
40,236,4
41,280,4
42,282,4
43,291,4
44,292,4
45,301,4
46,5,5
47,6,6
48,7,7
49,73,7
50,146,7
51,237,7
52,288,7
53,8,8
54,220,8
55,248,8
56,277,8
57,9,9
58,22,9
59,93,9
60,106,9
61,162,9
62,167,9
63,10,10
64,12,10
65,13,10
66,23,10
67,33,10
68,43,10
69,48,10
70,72,10
71,78,10
72,115,10
73,144,10
74,149,10
75,150,10
76,188,10
77,193,10
78,203,10
79,209,10
80,215,10
81,222,10
82,245,10
83,246,10
84,270,10
85,275,10
86,284,10
87,287,10
88,308,10
89,316,10
90,327,10
91,331,10
92,11,11
93,10,12
94,12,12
95,13,12
96,23,12
97,33,12
98,43,12
99,48,12
100,72,12
101,78,12
102,115,12
103,144,12
104,149,12
105,150,12
106,188,12
107,193,12
108,203,12
109,209,12
110,215,12
111,222,12
112,245,12
113,246,12
114,270,12
115,275,12
116,284,12
117,287,12
118,308,12
119,316,12
120,327,12
121,331,12
122,10,13
123,12,13
124,13,13
125,23,13
126,33,13
127,43,13
128,48,13
129,72,13
130,78,13
131,115,13
132,144,13
133,149,13
134,150,13
135,188,13
136,193,13
137,203,13
138,209,13
139,215,13
140,222,13
141,245,13
142,246,13
143,270,13
144,275,13
145,284,13
146,287,13
147,308,13
148,316,13
149,327,13
150,331,13
151,14,14
152,15,15
153,318,15
154,16,16
155,17,17
156,18,18
157,19,19
158,1,20
159,4,20
160,20,20
161,21,20
162,40,20
163,119,20
164,125,20
165,138,20
166,143,20
167,146,20
168,158,20
169,176,20
170,179,20
171,226,20
172,228,20
173,234,20
174,236,20
175,280,20
176,282,20
177,291,20
178,292,20
179,301,20
180,1,21
181,4,21
182,20,21
183,21,21
184,40,21
185,119,21
186,125,21
187,138,21
188,143,21
189,146,21
190,158,21
191,176,21
192,179,21
193,226,21
194,228,21
195,234,21
196,236,21
197,280,21
198,282,21
199,291,21
200,292,21
201,301,21
202,9,22
203,22,22
204,93,22
205,106,22
206,162,22
207,167,22
208,10,23
209,12,23
210,13,23
211,23,23
212,33,23
213,43,23
214,48,23
215,72,23
216,78,23
217,115,23
218,144,23
219,149,23
220,150,23
221,188,23
222,193,23
223,203,23
224,209,23
225,215,23
226,222,23
227,245,23
228,246,23
229,270,23
230,275,23
231,284,23
232,287,23
233,308,23
234,316,23
235,327,23
236,331,23
237,24,24
238,116,24
239,123,24
240,136,24
241,148,24
242,156,24
243,177,24
244,183,24
245,185,24
246,196,24
247,197,24
248,207,24
249,295,24
250,298,24
251,310,24
252,25,25
253,26,26
254,27,27
255,84,27
256,28,28
257,29,29
258,30,30
259,31,30
260,166,30
261,30,31
262,31,31
263,35,31
264,36,31
265,37,31
266,58,31
267,89,31
268,90,31
269,166,31
270,168,31
271,200,31
272,201,31
273,202,31
274,258,31
275,259,31
276,304,31
277,323,31
278,32,32
279,10,33
280,12,33
281,13,33
282,23,33
283,33,33
284,43,33
285,48,33
286,72,33
287,78,33
288,115,33
289,144,33
290,149,33
291,150,33
292,188,33
293,193,33
294,203,33
295,209,33
296,215,33
297,222,33
298,245,33
299,246,33
300,270,33
301,275,33
302,284,33
303,287,33
304,308,33
305,316,33
306,327,33
307,331,33
308,34,34
309,31,35
310,35,35
311,36,35
312,37,35
313,58,35
314,89,35
315,90,35
316,168,35
317,200,35
318,201,35
319,202,35
320,258,35
321,259,35
322,304,35
323,323,35
324,31,36
325,35,36
326,36,36
327,37,36
328,58,36
329,89,36
330,90,36
331,168,36
332,200,36
333,201,36
334,202,36
335,258,36
336,259,36
337,304,36
338,323,36
339,31,37
340,35,37
341,36,37
342,37,37
343,58,37
344,89,37
345,90,37
346,168,37
347,200,37
348,201,37
349,202,37
350,258,37
351,259,37
352,304,37
353,319,37
354,323,37
355,38,38
356,39,39
357,1,40
358,4,40
359,20,40
360,21,40
361,40,40
362,119,40
363,125,40
364,138,40
365,143,40
366,146,40
367,158,40
368,176,40
369,179,40
370,224,40
371,226,40
372,228,40
373,234,40
374,236,40
375,280,40
376,282,40
377,291,40
378,292,40
379,301,40
380,41,41
381,50,41
382,100,41
383,183,41
384,209,41
385,254,41
386,42,42
387,10,43
388,12,43
389,13,43
390,23,43
391,33,43
392,43,43
393,48,43
394,72,43
395,78,43
396,115,43
397,144,43
398,149,43
399,150,43
400,188,43
401,193,43
402,203,43
403,209,43
404,215,43
405,222,43
406,245,43
407,246,43
408,270,43
409,275,43
410,284,43
411,287,43
412,308,43
413,316,43
414,327,43
415,331,43
416,44,44
417,60,44
418,131,44
419,231,44
420,234,44
421,239,44
422,45,45
423,46,46
424,47,47
425,10,48
426,12,48
427,13,48
428,23,48
429,33,48
430,43,48
431,48,48
432,49,48
433,72,48
434,78,48
435,115,48
436,144,48
437,149,48
438,150,48
439,188,48
440,193,48
441,203,48
442,209,48
443,215,48
444,222,48
445,245,48
446,246,48
447,264,48
448,270,48
449,275,48
450,284,48
451,287,48
452,308,48
453,316,48
454,327,48
455,331,48
456,48,49
457,49,49
458,264,49
459,41,50
460,50,50
461,175,50
462,209,50
463,236,50
464,51,51
465,67,51
466,91,51
467,120,51
468,218,51
469,228,51
470,254,51
471,266,51
472,290,51
473,303,51
474,52,52
475,53,53
476,54,54
477,55,55
478,56,56
479,57,57
480,31,58
481,35,58
482,36,58
483,37,58
484,58,58
485,89,58
486,90,58
487,168,58
488,200,58
489,201,58
490,202,58
491,258,58
492,259,58
493,304,58
494,323,58
495,59,59
496,206,59
497,44,60
498,60,60
499,66,60
500,69,60
